,BC_6MONTH,BC_1YEAR,BC_2YEAR,BC_3YEAR,BC_5YEAR,BC_7YEAR,BC_10YEAR,BC_20YEAR,BC_30YEAR
BC_6MONTH,0.9726163581724366,0.9465056957259966,0.8520665874935192,0.8396116670121507,0.8491316490731446,0.8611944410814845,0.8769923953973726,0.888270600772028,0.8968401836231755
BC_1YEAR,0.9465056957259966,0.943055136223462,0.8938213920597875,0.8897485158021303,0.9000931895121601,0.9091705441974841,0.9189367010971826,0.9227168269760859,0.9263786386625994
BC_2YEAR,0.8520665874935192,0.8938213920597875,0.9366721662142271,0.9494465516282485,0.9609659755720487,0.9637001451724345,0.9610357296722283,0.9497391492164556,0.94347933658291
BC_3YEAR,0.8396116670121507,0.8897485158021304,0.9494465516282486,0.9653297791649861,0.9771231937372855,0.9787274567111613,0.9738056089488539,0.9597276369566169,0.9516437768197782
BC_5YEAR,0.8491316490731445,0.9000931895121601,0.9609659755720485,0.9771231937372854,0.9890629327429825,0.9906543310110789,0.9856112478810154,0.9712896994868514,0.9630596019861868
BC_7YEAR,0.8611944410814844,0.9091705441974841,0.9637001451724344,0.9787274567111612,0.9906543310110789,0.9927179418822256,0.9885504827706287,0.9752409330771009,0.9676840908515997
BC_10YEAR,0.8769923953973726,0.9189367010971827,0.9610357296722283,0.9738056089488539,0.9856112478810155,0.9885504827706287,0.9860716567932095,0.9747827559816086,0.9685596513855658
BC_20YEAR,0.888270600772028,0.922716826976086,0.9497391492164556,0.9597276369566169,0.9712896994868515,0.975240933077101,0.9747827559816086,0.9659823058893607,0.9613913089041943
BC_30YEAR,0.8968401836231755,0.9263786386625994,0.94347933658291,0.9516437768197782,0.9630596019861869,0.9676840908515998,0.9685596513855658,0.9613913089041943,0.957872259114072
