,BC_6MONTH,BC_1YEAR,BC_2YEAR,BC_3YEAR,BC_5YEAR,BC_7YEAR,BC_10YEAR,BC_20YEAR,BC_30YEAR
BC_6MONTH,0.8350464438185559,0.8635566412708436,0.881435813166492,0.8894067562615324,0.9000855506934867,0.9042693505672833,0.904827429377745,0.8978230390110237,0.8943319495149432
BC_1YEAR,0.8635566412708436,0.8930402353105733,0.911529838787365,0.9197729262202476,0.9308163165858307,0.9351429599641842,0.9357200927293067,0.9284765581163386,0.9248662756680653
BC_2YEAR,0.881435813166492,0.911529838787365,0.9304022530527548,0.9388160062765304,0.9500880402136185,0.9545042628934279,0.9550933446789402,0.947699839126849,0.9440148089927847
BC_3YEAR,0.8894067562615324,0.9197729262202478,0.9388160062765305,0.9473058462069734,0.9586798146692257,0.9631359738471329,0.9637303827787861,0.9562700167575056,0.9525516623982812
BC_5YEAR,0.9000855506934866,0.9308163165858307,0.9500880402136184,0.9586798146692256,0.9701903463745934,0.9747000090900911,0.975301554880943,0.9677516148660228,0.9639886155324401
BC_7YEAR,0.9042693505672832,0.9351429599641842,0.9545042628934278,0.9631359738471328,0.9747000090900911,0.9792306337311363,0.9798349756419813,0.9722499418095265,0.9684694512095583
BC_10YEAR,0.904827429377745,0.9357200927293068,0.9550933446789402,0.9637303827787861,0.9753015548809431,0.9798349756419813,0.9804396905284386,0.9728499755170232,0.9690671517497353
BC_20YEAR,0.8978230390110237,0.9284765581163387,0.947699839126849,0.9562700167575056,0.9677516148660229,0.9722499418095266,0.9728499755170232,0.9653190135064411,0.9615654730847883
BC_30YEAR,0.8943319495149432,0.9248662756680653,0.9440148089927847,0.9525516623982812,0.9639886155324402,0.9684694512095584,0.9690671517497353,0.9615654730847883,0.9578265279062622
