,eigenvalues
PC1,8.458800990435726
PC2,0.2505795457612331
PC3,0.1583996180842812
PC4,0.07815269988478418
PC5,0.031876424953761216
PC6,0.011791668203415167
PC7,0.004799850313999112
PC8,0.0031637527271330844
PC9,0.0024354496356609107
